VARIABLE;ENG;FRA;DEU;POR;ITA;RUS;CHI;JPN;KOR
Inicio;Home;Accueil;Startseite;Início;Inizio;;;;
Favoritos;Favorites;Favoris;Favoriten;Favoritos;Preferiti;;;;
Seguir Viendo;Continue Watching;Continuer à regarder;Weiter schauen;Continuar Assistindo;Continua a guardare;;;;
Vistos;Completed;Terminé;Abgeschlossen;Completos;Completati;;;;
Catálogo;Catalog;Catalogue;Katalog;Catálogo;Catalogo;;;;
Buscar...;Search...;Recherche...;Suche...;Buscar...;Cerca...;;;;
Configuración;Settings;Paramètres;Einstellungen;Configuração;Impostazioni;;;;
Cargando...;Loading...;Chargement...;Lädt...;Carregando...;Caricamento...;;;;
Reproducir;Play;Jouer;Abspielen;Reproduzir;Riproduci;;;;
Sincronización completada;Sync completed;Synchronisation terminée;Synchronisierung abgeschlossen;Sincronização concluída;Sincronizzazione completata;;;;
Hola Mundo;;;;;;;;;
Hola nuevo texto;;;;;;;;;
